method,data,status,duration
cp,data_10_2_12_(0).txt,0,9.120734262466431
cp,data_10_2_12_(1).txt,0,0.141381025314331
cp,data_10_2_12_(2).txt,0,0.6755478382110596
cp,data_10_2_12_(3).txt,0,0.18303298950195307
cp,data_10_2_12_(4).txt,0,1.9264404296875
cp,data_10_2_24_(0).txt,0,0.050975513458251895
cp,data_10_2_24_(1).txt,0,0.06218333244323726
cp,data_10_2_24_(2).txt,0,0.05326209068298334
cp,data_10_2_24_(3).txt,0,0.5116397857666015
cp,data_10_2_24_(4).txt,0,0.0885862827301025
cp,data_10_2_40_(0).txt,1,120.0688778758049
cp,data_10_2_40_(0).txt,0,118.35816216468812
cp,data_10_2_40_(1).txt,0,0.0645663738250732
cp,data_10_2_40_(2).txt,0,0.04397892951965328
cp,data_10_2_40_(3).txt,0,0.0450457096099853
cp,data_10_2_40_(4).txt,0,0.06671476364135735
cp,data_10_2_4_(0).txt,0,0.6517749786376953
cp,data_10_2_4_(1).txt,0,0.06913948059082028
cp,data_10_2_4_(2).txt,0,1.0821425437927246
cp,data_10_2_4_(3).txt,0,0.0681643962860107
cp,data_10_2_4_(4).txt,0,0.5829944610595703
cp,data_16_3_12_(0).txt,1,120.13704649607341
cp,data_16_3_12_(1).txt,1,120.18883748054505
cp,data_16_3_12_(1).txt,0,110.34059953689577
cp,data_16_3_12_(2).txt,1,120.16611795425415
cp,data_16_3_12_(3).txt,1,120.16478276252748
cp,data_16_3_12_(4).txt,1,120.1326470375061
cp,data_16_3_24_(0).txt,0,10.158172607421877
cp,data_16_3_24_(1).txt,0,42.25064659118652
cp,data_16_3_24_(2).txt,0,11.568208932876589
cp,data_16_3_24_(3).txt,0,26.92984914779663
cp,data_16_3_24_(4).txt,0,42.25728702545166
cp,data_16_3_40_(0).txt,0,46.008933901786804
cp,data_16_3_40_(1).txt,0,0.5837264060974121
cp,data_16_3_40_(2).txt,0,44.9382791519165
cp,data_16_3_40_(3).txt,0,1.1131117343902588
cp,data_16_3_40_(4).txt,0,40.539143085479736
cp,data_16_3_60_(0).txt,0,0.2126163005828857
cp,data_16_3_60_(1).txt,0,4.015119504928589
cp,data_16_3_60_(2).txt,0,5.2089801788330075
cp,data_16_3_60_(3).txt,0,0.4897326946258545
cp,data_16_3_60_(4).txt,0,0.3647169589996338
cp,data_20_4_24_(0).txt,0,38.98263740539551
cp,data_20_4_24_(1).txt,1,120.22075390815736
cp,data_20_4_24_(2).txt,1,120.26542162895204
cp,data_20_4_24_(3).txt,1,120.23921060562134
cp,data_20_4_24_(4).txt,0,6.272751569747925
cp,data_20_4_40_(0).txt,0,0.5829296112060547
cp,data_20_4_40_(1).txt,0,33.509238481521606
cp,data_20_4_40_(2).txt,0,0.5160915851593018
cp,data_20_4_40_(3).txt,0,91.9969289302826
cp,data_20_4_40_(4).txt,1,120.34728598594666
cp,data_20_4_60_(0).txt,0,0.430478572845459
cp,data_20_4_60_(1).txt,0,7.852372407913208
cp,data_20_4_60_(2).txt,0,0.771449089050293
cp,data_20_4_60_(3).txt,0,10.649657487869264
cp,data_20_4_60_(4).txt,1,120.26167392730711
cp,data_20_4_80_(0).txt,0,6.271693706512451
cp,data_20_4_80_(1).txt,1,120.25151896476746
cp,data_20_4_80_(2).txt,1,120.28843927383424
cp,data_20_4_80_(3).txt,0,0.4089169502258301
cp,data_20_4_80_(4).txt,0,0.3050031661987304
cp,data_30_6_40_(0).txt,1,120.61537909507751
cp,data_30_6_40_(1).txt,0,14.64713168144226
cp,data_30_6_40_(2).txt,1,120.6876187324524
cp,data_30_6_40_(3).txt,1,120.62209963798524
cp,data_30_6_40_(4).txt,1,120.72932076454164
cp,data_30_6_60_(0).txt,1,120.62317657470705
cp,data_30_6_60_(1).txt,1,120.7999153137207
cp,data_30_6_60_(2).txt,1,120.68653988838196
cp,data_30_6_60_(3).txt,1,120.832590341568
cp,data_30_6_60_(4).txt,1,121.0217583179474
cp,data_30_6_80_(0).txt,1,120.65935444831848
cp,data_30_6_80_(1).txt,1,121.18255758285522
cp,data_30_6_80_(2).txt,1,120.87605905532835
cp,data_30_6_80_(3).txt,1,120.77217626571657
cp,data_30_6_80_(4).txt,0,2.735701560974121
cp,data_40_8_120_(0).txt,0,4.3448216915130615
cp,data_40_8_120_(1).txt,1,121.92312812805176
cp,data_40_8_120_(2).txt,1,121.36582326889038
cp,data_40_8_120_(3).txt,1,122.7953236103058
cp,data_40_8_120_(4).txt,1,121.34428334236144
cp,data_40_8_60_(0).txt,1,121.77681040763856
cp,data_40_8_60_(1).txt,1,121.87162566184998
cp,data_40_8_60_(2).txt,1,121.88556265830994
cp,data_40_8_60_(3).txt,1,122.21674060821532
cp,data_40_8_60_(4).txt,1,122.01333928108215
cp,data_40_8_80_(0).txt,1,121.81339478492735
cp,data_40_8_80_(1).txt,1,122.12196278572084
cp,data_40_8_80_(2).txt,1,121.88608407974245
cp,data_40_8_80_(3).txt,1,121.89423608779909
cp,data_40_8_80_(4).txt,1,121.84522891044617
cp,data_50_10_120_(0).txt,1,122.72065687179564
cp,data_50_10_120_(1).txt,1,123.4765329360962
cp,data_50_10_120_(2).txt,1,122.76190233230592
cp,data_50_10_120_(3).txt,1,122.69482851028442
cp,data_50_10_120_(4).txt,1,123.24022579193117
cp,data_50_10_80_(0).txt,1,123.498069524765
cp,data_50_10_80_(1).txt,1,122.6012761592865
cp,data_50_10_80_(2).txt,1,123.3080117702484
cp,data_50_10_80_(3).txt,1,123.08866262435912
cp,data_50_10_80_(4).txt,1,123.30249643325806
mip,data_10_2_12_(0).txt,0,0.2145098209381103
mip,data_10_2_12_(1).txt,0,0.7895728588104248
mip,data_10_2_12_(2).txt,0,0.3042111873626709
mip,data_10_2_12_(3).txt,0,0.6190705299377441
mip,data_10_2_12_(4).txt,0,0.6887550830841065
mip,data_10_2_24_(0).txt,0,0.33912558555603023
mip,data_10_2_24_(1).txt,0,0.7647367954254151
mip,data_10_2_24_(2).txt,0,0.4160017013549805
mip,data_10_2_24_(3).txt,0,0.33328690528869626
mip,data_10_2_24_(4).txt,0,0.8605540275573731
mip,data_10_2_40_(0).txt,0,0.5669845104217529
mip,data_10_2_40_(1).txt,0,1.6768767356872558
mip,data_10_2_40_(2).txt,0,0.6869784355163574
mip,data_10_2_40_(3).txt,0,1.4835952281951905
mip,data_10_2_40_(4).txt,0,0.9524699687957764
mip,data_10_2_4_(0).txt,0,0.22859945297241208
mip,data_10_2_4_(1).txt,0,0.3965590953826904
mip,data_10_2_4_(2).txt,0,0.4233406543731689
mip,data_10_2_4_(3).txt,0,0.23407449722290036
mip,data_10_2_4_(4).txt,0,0.20902175903320308
mip,data_16_3_12_(0).txt,0,1.9286430835723878
mip,data_16_3_12_(1).txt,0,3.0797932624816893
mip,data_16_3_12_(2).txt,0,4.614007139205933
mip,data_16_3_12_(3).txt,0,4.501919460296631
mip,data_16_3_12_(4).txt,0,5.754797840118409
mip,data_16_3_24_(0).txt,0,3.1440525531768797
mip,data_16_3_24_(1).txt,0,5.911234903335571
mip,data_16_3_24_(2).txt,0,3.2734331130981444
mip,data_16_3_24_(3).txt,0,5.196596431732178
mip,data_16_3_24_(4).txt,0,4.77383337020874
mip,data_16_3_40_(0).txt,0,5.266413831710816
mip,data_16_3_40_(1).txt,0,4.089892625808716
mip,data_16_3_40_(2).txt,0,5.256508445739746
mip,data_16_3_40_(3).txt,0,3.9657604694366455
mip,data_16_3_40_(4).txt,0,6.371697616577149
mip,data_16_3_60_(0).txt,0,2.9374043941497803
mip,data_16_3_60_(1).txt,0,334.95409870147705
mip,data_16_3_60_(2).txt,0,4.8977885246276855
mip,data_16_3_60_(3).txt,0,4.961076498031616
mip,data_16_3_60_(4).txt,0,3.055485725402832
mip,data_20_4_24_(0).txt,0,5.535808324813843
mip,data_20_4_24_(1).txt,0,5.424017667770386
mip,data_20_4_24_(2).txt,0,493.3485059738159
mip,data_20_4_24_(3).txt,0,7.968277931213379
mip,data_20_4_24_(4).txt,0,5.008384466171265
mip,data_20_4_40_(0).txt,0,7.029175519943237
mip,data_20_4_40_(1).txt,0,25.767241716384888
mip,data_20_4_40_(2).txt,0,7.557281732559204
mip,data_20_4_40_(3).txt,0,7.004226922988892
mip,data_20_4_40_(4).txt,1,118.23851680755617
mip,data_20_4_60_(0).txt,0,7.4044976234436035
mip,data_20_4_60_(1).txt,0,109.92150378227234
mip,data_20_4_60_(2).txt,0,6.23413872718811
mip,data_20_4_60_(3).txt,0,7.352110147476196
mip,data_20_4_60_(4).txt,0,5.941608905792236
mip,data_20_4_80_(0).txt,1,119.7361741065979
mip,data_20_4_80_(1).txt,0,8.99145221710205
mip,data_20_4_80_(2).txt,0,6.292079210281372
mip,data_20_4_80_(3).txt,0,6.056501150131226
mip,data_20_4_80_(4).txt,0,21.017771005630493
mip,data_30_6_40_(0).txt,0,20.32016682624817
mip,data_30_6_40_(1).txt,0,13.637959003448486
mip,data_30_6_40_(2).txt,0,12.780976057052612
mip,data_30_6_40_(3).txt,1,114.1826183795929
mip,data_30_6_40_(4).txt,0,14.524945974349976
mip,data_30_6_60_(0).txt,1,118.47922348976137
mip,data_30_6_60_(1).txt,1,117.2719657421112
mip,data_30_6_60_(2).txt,1,118.24235725402832
mip,data_30_6_60_(3).txt,1,117.1966953277588
mip,data_30_6_60_(4).txt,1,118.08253359794617
mip,data_30_6_80_(0).txt,0,19.75008463859558
mip,data_30_6_80_(1).txt,1,119.13843703269958
mip,data_30_6_80_(2).txt,1,118.847247838974
mip,data_30_6_80_(3).txt,1,117.2254753112793
mip,data_30_6_80_(4).txt,0,105.4163453578949
mip,data_40_8_120_(0).txt,0,44.55086898803711
mip,data_40_8_120_(1).txt,1,115.63682436943054
mip,data_40_8_120_(2).txt,0,40.052401304245
mip,data_40_8_120_(3).txt,1,116.26346278190611
mip,data_40_8_120_(4).txt,1,118.10205101966858
mip,data_40_8_60_(0).txt,0,72.05135607719421
mip,data_40_8_60_(1).txt,1,101.36054587364195
mip,data_40_8_60_(2).txt,0,46.951855182647705
mip,data_40_8_60_(3).txt,0,81.02583432197571
mip,data_40_8_60_(4).txt,1,104.52348470687866
mip,data_40_8_80_(0).txt,1,111.8386664390564
mip,data_40_8_80_(1).txt,1,107.20759415626526
mip,data_40_8_80_(2).txt,1,116.29354977607728
mip,data_40_8_80_(3).txt,1,103.09343647956848
mip,data_40_8_80_(4).txt,1,111.50899863243104
mip,data_50_10_120_(0).txt,1,103.07088160514832
mip,data_50_10_120_(1).txt,1,118.03508138656616
mip,data_50_10_120_(2).txt,1,108.44839882850648
mip,data_50_10_120_(3).txt,1,103.80329060554504
mip,data_50_10_120_(4).txt,1,108.15628623962402
mip,data_50_10_80_(0).txt,1,99.93598890304564
mip,data_50_10_80_(1).txt,1,90.6740264892578
mip,data_50_10_80_(2).txt,1,100.340505361557
mip,data_50_10_80_(3).txt,1,103.1140320301056
mip,data_50_10_80_(4).txt,6,105.9645893573761
mip,data_50_10_80_(4).txt,1,117.991218328476
